ID,Severity,Title,Area,Evidence,Impact,Recommended Fix,Estimated Effort,Owner Priority
F15,Medium,CommissioningView reads closeouts/punch/lessons from Zustand only,Frontend truth,"src/components/CommissioningView.tsx:11-18 imports selectPunchItems from biz store only",Numbers shown do not reconcile with backend punch_lists/punch_items,Reroute selectors through backend API where tables exist; keep Zustand as cache only,M,Next
F16,Medium,Dev-only JWT fallback string,Security,api/auth.ts:40 JWT_SECRET fallback = '__dev-only-insecure-fallback__',"If NODE_ENV != production and JWT_SECRET unset, tokens can be forged by anyone with source access",Fail fast in non-production if JWT_SECRET unset — do not silently fall back,S,Next
F17,Medium,README CI badge points at non-existent workflow,Docs,"README.md:5 badge URL .../workflows/ci.yml/badge.svg",Contributors and stakeholders believe CI exists; it doesn't,Either add ci.yml (F03) or remove the badge,S,Now
F18,Medium,api/{db/{migrations...} literal-glob directory exists,Cleanliness,"ls api/ shows '{db' as a real subdirectory — artifact of unquoted mkdir",Cosmetic but suggests a broken setup script shipped once,rm -rf the tree; check scripts for unquoted brace expansion,S,Later
F19,Medium,App.jsx comment says JarvisCore ~6479 lines,Docs,"src/App.jsx:6-12 comment vs actual 1127 lines",Misleading about architectural state,Update or delete the comment — living comments describe invariants not snapshots,S,Later
F20,Medium,http_fetch MCP tool: empty allowlist = open in dev,AI safety,".env.example:110 — ""Empty = open in dev""",Agent can fetch arbitrary URLs in a dev env exposed to internet,Make empty allowlist mean deny in all envs; require explicit wildcard for open,S,Next
F21,Medium,Pack /download/:format trusts stored path without bound check,Security,"api/routes/commissioning.ts:403-418 reads row.path from DB via fs.readFile",If attacker can write commissioning_packs.markdown_path they can read files outside cx-packs dir,Validate path resolves inside STORAGE_DIR using path.resolve + prefix check,S,Next
F22,Medium,Folder creation doesn't verify parent belongs to same project,Security,"api/routes/files.ts:376-401 looks up parent_id without project_id match",Users can create folders under parents from other projects within same tenant,"Add AND (project_id = $x OR project_id IS NULL) when looking up parent",S,Next
F23,Low,125 TODO/FIXME markers in src/,Code health,Grep count across src/,Backlog visibility; some placeholders for real features,Triage into an issues list; delete stale ones,M,Later
F24,Low,CHANGELOG references v4.32.0 while package.json is v4.30.0,Docs,"api/server.ts imports inspectionsRouter labeled // v4.32.0; package.json version = 4.30.0",Version labels are aspirational,Reconcile at next release,S,Later
F25,Low,Minified single-letter variables in JarvisCore.jsx,Code health,"src/jarvis/JarvisCore.jsx:79-84 — useState as g, useEffect as ui, etc.",Readability hostile for new contributors,Rename to semantic aliases during next extraction pass,M,Later
